result_id	classification	result	metric	split	resampling_unit	source_file	note
strict_split_counts	strict_confirmatory	1342/837/928	graph count	three-way spatial	none	nature/kdd_path2_gap_audit/path2_gap_experiment_results.csv	train/validation/test regions are disjoint
strict_ring_pooled	strict_confirmatory	0.3626/0.4111	pooled Ring Pearson	three-way spatial test	none	nature/kdd_path2_gap_audit/path2_gap_experiment_results.csv	context/full pooled correlations
strict_ring_paired	strict_confirmatory	+0.0532 [0.0474, 0.0586]	mean graph-paired Ring lift	three-way spatial test	guide-cluster bootstrap	nature/kdd_path2_gap_audit/path2_gap_incremental_residual_comparisons.csv	not the difference of pooled correlations
predictive_r2	strict_confirmatory	0.3712/0.4669	predictive R2	held-out receiver values	spatial-cluster bootstrap	nature/kdd_path2_gap_audit/context_perturbation_decomposition/decomposition_metrics.csv	context/full
partial_r2	strict_confirmatory	0.1521 [0.1476, 0.1559]	partial R2	held-out receiver values	spatial-cluster bootstrap	nature/kdd_path2_gap_audit/context_perturbation_decomposition/decomposition_bootstrap_ci.csv	1-SSE_full/SSE_context
matching_decoupling	strict_confirmatory	+0.0257/+0.0281/+0.0263/+0.0128/+0.0025	paired Ring lift	PPP variants	guide-cluster bootstrap	nature/kdd_path2_gap_audit/path2_gap_paired_graph_comparisons.csv	gene-disjoint/no-center/no-patch/no-expression/no-spatial
profile_location_factorial	original_exact_task	0.4574/0.4056/0.4314/0.4135/0.4575	Ring Pearson	original block-held-out test	none	nature/kdd_path2_gap_audit/direct_effect_factorial/missing_direct_effect_controls.csv	correct/shuffled/relocated/full-null/randomized-CCC
guide_ood_seed	strict_confirmatory	0.4400->0.4619; +0.0220	Ring Pearson	five grouped guide-out folds	fold direction	nature/kdd_path2_gap_audit/guide_ood_fivefold/guide_ood_fivefold.csv	assay-matched spatial seed; 5/5 positive
external_scrna_seed	strict_confirmatory	0.4400->0.4130; -0.0270	Ring Pearson	five grouped guide-out folds	fold direction	nature/kdd_path2_gap_audit/scrna_external_seed_propagation/external_seed_propagation.csv	external seed below zero in 5/5 folds
patch_scale	strict_confirmatory	32/64/100/128 cells	paired Ring lift	three-way spatial test	guide-cluster bootstrap	nature/kdd_path2_gap_audit/path2_gap_paired_graph_comparisons.csv	64 cells maximizes paired lift in this assay
formal_selector	strict_confirmatory	TQR 0.6944; reduction 0.1200; burden decrease 0.1244 [0.0559, 0.1926]	TQR and collateral burden	three-way selector test	target-specification bootstrap	nature/kdd_path2_gap_audit/three_way_selector_audit/bootstrap_ci.csv	operating point frozen from validation
formal_burden_rank	strict_confirmatory	0.6250 [0.6108, 0.6393]	pairwise burden-order agreement	three-way selector test	target-specification bootstrap	nature/kdd_path2_gap_audit/three_way_selector_audit/pairwise_audit.csv	standalone SPINE spillover head
exact_task_table	original_exact_task	14-method comparison	Neighbor/Centered/Ring/MAE	original full-development block holdout	none	SPINE4KDD/source_data/table1_exact_task.csv	model-comparison result, not confirmatory effect estimate
concert_diagnostic	supporting_external	4/4 pseudo-delta contrasts below guide mean	aggregate gene Pearson	Perturb-map native holdouts	cell bootstrap	nature/kdd_path2_gap_audit/concert_native/delta_paired_comparison.csv	objective-mismatch diagnostic
reference_st_low_data	supporting_negative	+0.0009/+0.0002/+0.0032/~+0.0005	paired Ring gain	10/25/50/100 percent training data	none	nature/kdd_path2_gap_audit/reference_st_low_data/reference_st_low_data.csv	not a core component
discovery_selector	exploratory_posthoc	0.354/0.418/0.672	relative burden reduction	discovery analysis	none	SPINE4KDD/source_data/selector_operating_points.csv	weighted/rank-consensus/oracle; appendix only
discovery_cases	exploratory_posthoc	24.4%-49.7%	burden reduction	discovery analysis	none	SPINE4KDD/source_data/selector_case_summary.csv	mechanistic illustrations only
